Horizontal Units,s,,-48.99999840E-6,-39.99999911E-3,,Horizontal Units,s,,-48.99999840E-6,39.99999911E-3,,Horizontal Units,s,,-48.99999840E-6,0.0,,Horizontal Units,s,,-48.99999840E-6,5.11999989,
Horizontal Scale,25.00000029E-6,,-48.89999764E-6,-39.99999911E-3,,Horizontal Scale,25.00000029E-6,,-48.89999764E-6,39.99999911E-3,,Horizontal Scale,25.00000029E-6,,-48.89999764E-6,0.0,,Horizontal Scale,25.00000029E-6,,-48.89999764E-6,5.11999989,
Pt Fmt,Y,,-48.80000051E-6,-39.99999911E-3,,Pt Fmt,Y,,-48.80000051E-6,39.99999911E-3,,Pt Fmt,Y,,-48.80000051E-6,0.0,,Pt Fmt,Y,,-48.80000051E-6,5.11999989,
Yzero,-1.9600000,,-48.69999975E-6,-39.99999911E-3,,Yzero,-3.00000000,,-48.69999975E-6,39.99999911E-3,,Yzero,-3.04000000,,-48.69999975E-6,0.0,,Yzero,-3.88000000,,-48.69999975E-6,5.11999989,
Probe Atten,10.0000000,,-48.59999899E-6,-39.99999911E-3,,Probe Atten,10.0000000,,-48.59999899E-6,39.99999911E-3,,Probe Atten,10.0000000,,-48.59999899E-6,0.0,,Probe Atten,10.0000000,,-48.59999899E-6,5.11999989,
,,,-48.49999823E-6,-39.99999911E-3,,,,,-48.49999823E-6,39.99999911E-3,,,,,-48.49999823E-6,0.0,,,,,-48.49999823E-6,5.11999989,
Note,TDS 2014C - 16:18:17   11/11/2022,,-48.39999747E-6,-39.99999911E-3,,Note,TDS 2014C - 16:18:17   11/11/2022,,-48.39999747E-6,39.99999911E-3,,Note,TDS 2014C - 16:18:17   11/11/2022,,-48.39999747E-6,0.0,,Note,TDS 2014C - 16:18:17   11/11/2022,,-48.39999747E-6,5.11999989,
,,,-48.30000034E-6,-39.99999911E-3,,,,,-48.30000034E-6,39.99999911E-3,,,,,-48.30000034E-6,0.0,,,,,-48.30000034E-6,5.11999989,
,,,-48.19999958E-6,-39.99999911E-3,,,,,-48.19999958E-6,39.99999911E-3,,,,,-48.19999958E-6,0.0,,,,,-48.19999958E-6,5.11999989,
,,,-48.09999882E-6,-39.99999911E-3,,,,,-48.09999882E-6,39.99999911E-3,,,,,-48.09999882E-6,0.0,,,,,-48.09999882E-6,5.11999989,
,,,-47.99999806E-6,-39.99999911E-3,,,,,-47.99999806E-6,39.99999911E-3,,,,,-47.99999806E-6,0.0,,,,,-47.99999806E-6,5.11999989,
,,,-47.89999730E-6,-39.99999911E-3,,,,,-47.89999730E-6,39.99999911E-3,,,,,-47.89999730E-6,0.0,,,,,-47.89999730E-6,5.11999989,
,,,-47.80000017E-6,-39.99999911E-3,,,,,-47.80000017E-6,39.99999911E-3,,,,,-47.80000017E-6,0.0,,,,,-47.80000017E-6,5.11999989,
,,,-47.69999941E-6,-39.99999911E-3,,,,,-47.69999941E-6,39.99999911E-3,,,,,-47.69999941E-6,0.0,,,,,-47.69999941E-6,5.11999989,
,,,-47.59999865E-6,-39.99999911E-3,,,,,-47.59999865E-6,39.99999911E-3,,,,,-47.59999865E-6,0.0,,,,,-47.59999865E-6,5.11999989,
,,,-47.49999789E-6,-39.99999911E-3,,,,,-47.49999789E-6,39.99999911E-3,,,,,-47.49999789E-6,0.0,,,,,-47.49999789E-6,5.11999989,
,,,-47.39999713E-6,-39.99999911E-3,,,,,-47.39999713E-6,39.99999911E-3,,,,,-47.39999713E-6,0.0,,,,,-47.39999713E-6,5.11999989,
,,,-47.30000001E-6,-39.99999911E-3,,,,,-47.30000001E-6,39.99999911E-3,,,,,-47.30000001E-6,0.0,,,,,-47.30000001E-6,5.11999989,
,,,-47.19999924E-6,-39.99999911E-3,,,,,-47.19999924E-6,39.99999911E-3,,,,,-47.19999924E-6,0.0,,,,,-47.19999924E-6,5.11999989,
,,,-47.09999848E-6,-39.99999911E-3,,,,,-47.09999848E-6,39.99999911E-3,,,,,-47.09999848E-6,0.0,,,,,-47.09999848E-6,5.11999989,
,,,-46.99999772E-6,-39.99999911E-3,,,,,-46.99999772E-6,39.99999911E-3,,,,,-46.99999772E-6,0.0,,,,,-46.99999772E-6,5.11999989,
